ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Hour,Month,DayOfWeek,Is_Rush_Hour,Risk_Level
A-2072026,Source2,2,2019-06-25 22:11:34,2019-06-25 23:11:01,31.769581,-106.476707,,,0.7099999785423279,Accident on exit ramp from I-10 Eastbound at Exit 20 to Dallas St Northbound.,I-10 E,El Paso,El Paso,TX,79901,US,US/Mountain,KELP,2019-06-25 21:41:00,88.0,88.0,19.0,26.03,10.0,E,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,22.0,6.0,1.0,0,Medium
A-7772213,Source1,3,2019-08-12 18:49:04,2019-08-12 19:18:19,41.76892,-87.62562,41.77272,-87.62557,0.263,At 71st St/Exit 59C (West) - Accident. unconfirmed report.,I-94 W,Chicago,Cook,IL,60621,US,US/Central,KMDW,2019-08-12 18:53:00,75.0,75.0,94.0,29.16,5.0,E,8.0,0.03,Cloudy,False,False,False,False,True,False,True,False,True,False,False,False,False,Day,Day,Day,Day,18.0,8.0,0.0,1,High
A-6573043,Source1,2,,2021-02-11 18:40:41.000000000,26.283663,-81.742671,26.345025,-81.753001,4.288,Slow traffic on I-75 N from CR-846/Immokalee Rd/Exit 17 (I-75) to Corkscrew Rd/Exit 123 (I-75) due to accident.,I-75 N,Naples,Collier,FL,34119,US,US/Eastern,KAPF,2021-02-11 15:53:00,83.0,83.0,47.0,29.95,10.0,S,15.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,,,,0,Medium
A-3526016,Source1,4,2016-12-10 10:38:55,2016-12-10 16:38:55,33.87622,-118.06696,33.86922,-118.05446,0.865,Closed between Bloomfield Ave and Shoemaker Ave - Road closed due to accident.,Artesia Fwy E,Cerritos,Los Angeles,CA,90703,US,US/Pacific,KFUL,2016-12-10 10:53:00,63.0,,78.0,30.17,4.0,Calm,7.0,0.0,Haze,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,10.0,12.0,5.0,0,High
A-5652723,Source1,2,2021-09-07 14:53:00,2021-09-07 17:04:05,38.938162,-76.062618,38.936033,-76.062572,0.147,US 50 WEST PRIOR TO MD 404, Ocean Gtwy,Wye Mills,Talbot,MD,21679,US,US/Eastern,KESN,2021-09-07 14:45:00,86.0,86.0,43.0,29.94,10.0,W,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,14.0,9.0,1.0,0,Medium
A-850421,Source2,3,2021-10-25 07:51:01,2021-10-25 11:21:47,41.76899,-72.66121700000002,,,0.0,Lane blocked due to accident on I-84 Eastbound at Exit 53 US-44 Connecticut Blvd.,US-44 E,East Hartford,Hartford,CT,06108,US,US/Eastern,KHFD,2021-10-25 07:53:00,53.0,53.0,89.0,30.01,5.0,N,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,7.0,10.0,0.0,1,High
A-4622792,Source1,2,,2022-03-16 11:21:00.000000000,41.388893,-73.544341,41.388419,-73.593334,2.54,Stationary traffic on I-84 W from Saw Mill Rd/Exit 1 (I-84) to I-684/Exit 20 (I-84) due to accident.,I-84 W,Brewster,Putnam,NY,10509,US,US/Eastern,KDXR,2022-03-16 06:53:00,36.0,36.0,89.0,29.69,0.25,CALM,0.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,,,,0,Medium
A-5619946,Source1,2,2021-11-13 02:29:00,2021-11-13 04:34:12,34.140451,-117.316565,34.143764000000004,-117.318632,0.258,Accident on Highland Ave (I-215) from Mt Vernon Ave (I-215) to Barstow Fwy N - I-215 N.,Barstow Fwy N,San Bernardino,San Bernardino,CA,92405,US,US/Pacific,KSBD,2021-11-13 02:20:00,60.0,60.0,26.0,28.84,10.0,ENE,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2.0,11.0,5.0,0,Medium
A-7644224,Source1,4,2017-12-06 16:43:08,2017-12-06 22:43:08,38.78232,-95.533245,38.782299,-95.524703,0.46,Closed at Stubbs Rd - Road closed due to accident., E US Highway 56,Overbrook,Osage,KS,66524-9309,US,US/Central,KFOE,2017-12-06 16:53:00,46.0,39.6,37.0,30.25,10.0,NW,15.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,16.0,12.0,2.0,1,High
A-6500401,Source1,2,2021-01-25 20:43:08,2021-01-26 00:28:09,38.752362,-76.155043,38.752794,-76.154613,0.038,Incident on MD-329 EB near RIGBYLOT RD Road closed. Take alternate route., Royal Oak Rd,Easton,Talbot,MD,21601-7964,US,US/Eastern,KESN,2021-01-25 20:50:00,32.0,32.0,93.0,30.03,3.0,CALM,0.0,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,20.0,1.0,0.0,0,Medium
A-2626307,Source2,3,2018-08-04 22:09:58,2018-08-04 22:38:47,40.833984,-74.02153,,,0.0,Two lanes blocked due to accident on I-95 Northbound near Exits 16W 17.,New Jersey Tpke S,Ridgefield,Bergen,NJ,07657,US,US/Eastern,KTEB,2018-08-04 21:51:00,81.0,,74.0,30.07,10.0,West,6.9,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,22.0,8.0,5.0,0,High
A-5564092,Source1,2,2021-12-20 16:39:00,2021-12-20 17:58:10,36.801077,-78.555995,36.799226,-78.549939,0.359,On VA-92 in the County of Mecklenburg in the vicinity of Allgood Rd; Lawson Rd; Rt. 600E/W (Mecklenburg County) motorists can expect delays due to a vehicle crash. All north lanes are closed. All south lanes are closed., Highway Ninety Two,Chase City,Mecklenburg,VA,23924-3814,US,US/Eastern,KAVC,2021-12-20 16:35:00,38.0,38.0,51.0,29.87,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,16.0,12.0,0.0,1,Medium
A-7757371,Source1,3,2019-07-11 16:52:04,2019-07-11 17:20:32,32.78147,-96.77108,32.7807,-96.77363,0.157,At 2nd Ave/Exit 47 - Accident. Two lanes blocked.,S 2nd Ave,Dallas,Dallas,TX,75226,US,US/Central,KDAL,2019-07-11 16:53:00,97.0,97.0,35.0,29.38,10.0,NE,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,16.0,7.0,3.0,1,High
A-2065716,Source2,3,2019-06-21 06:34:36,2019-06-21 08:04:11,32.785789,-96.767235,,,0.0,HOV lane blocked due to accident on I-30 Westbound at Exit 48A Haskell Ave.,S Haskell Ave,Dallas,Dallas,TX,75223,US,US/Central,KDAL,2019-06-21 06:33:00,82.0,82.0,74.0,29.3,8.0,S,16.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,6.0,6.0,4.0,0,High
A-5200340,Source1,2,,2022-11-08 09:10:00.000000000,40.267962,-74.714399,40.275107,-74.706092,0.66,Stationary traffic on Trenton Fwy N - US-1 N from Whitehead Rd (US-1) to Bakers Basin Rd/Franklin Corner Rd (US-1) due to accident.,Trenton Fwy N,Lawrence Township,Mercer,NJ,08648,US,US/Eastern,KTTN,2022-11-08 08:53:00,48.0,42.0,50.0,30.32,10.0,N,14.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,,,,0,Medium
A-1557372,Source2,2,2020-04-16 10:12:53,2020-04-16 11:29:38,29.755819,-95.375069,,,0.0,Accident on Heiner St at Andrews St.,Andrews St,Houston,Harris,TX,77019-5207,US,US/Central,KMCJ,2020-04-16 09:53:00,65.0,65.0,54.0,30.15,10.0,E,12.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,10.0,4.0,3.0,0,Medium
A-3789351,Source1,2,2022-02-20 18:48:00,2022-02-20 21:14:07,25.899251,-80.190506,25.898963,-80.18688,0.226,Stationary traffic on FL-916 - FL-915 from NE 4th Ave to NE 134th St due to accident., NE 135th St,North Miami,Miami-Dade,FL,33161-3723,US,US/Eastern,KOPF,2022-02-20 18:53:00,74.0,74.0,68.0,30.2,10.0,NE,10.0,0.0,Cloudy,False,False,True,False,False,False,False,False,True,False,False,False,False,Night,Night,Day,Day,18.0,2.0,6.0,1,Medium
A-4328850,Source1,2,2022-01-18 06:52:00,2022-01-18 12:08:26,40.71446299533503,-74.2851626869474,40.71389299533503,-74.3015426869474,0.8590000000000001,Incident on I-78 EXPRESS LN WB near NJ-124 Road closed. Take alternate route.,I-78 Express Lane,Union,Union,NJ,07083,US,US/Eastern,KEWR,2022-01-18 06:51:00,30.0,19.0,59.0,29.74,10.0,W,15.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,6.0,1.0,1.0,0,Medium
A-2745004,Source2,2,2018-06-06 13:20:40,2018-06-06 14:20:29,35.85910399999999,-78.706757,,,0.0,Accident on US-70 Glenwood Ave at Pleasant Valley Rd.,Glenwood Ave,Raleigh,Wake,NC,27612-7156,US,US/Eastern,KRDU,2018-06-06 12:51:00,82.9,,51.0,29.83,10.0,NNE,5.8,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,13.0,6.0,2.0,0,Medium
A-4573084,Source1,2,2022-02-22 12:36:30,2022-02-22 12:51:00,26.199067000000007,-80.148534,26.204567,-80.142698,0.525,Slow traffic on I-95 N from FL-870/Commercial Blvd/Exit 32 (I-95) to Cypress Creek Rd/Exit 33 (I-95) due to accident.,I-95 N,Fort Lauderdale,Broward,FL,33309,US,US/Eastern,KFXE,2022-02-22 12:53:00,80.0,80.0,69.0,30.2,10.0,ENE,14.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,12.0,2.0,1.0,0,Medium
A-7720486,Source1,2,2019-05-09 10:59:50,2019-05-09 14:59:50,45.39876,-122.61867,45.398169,-122.619993,0.076,At SE River Rd - Accident., SE McLoughlin Blvd,Portland,Clackamas,OR,97267-4963,US,US/Pacific,KPDX,2019-05-09 10:53:00,75.0,75.0,41.0,29.96,10.0,WNW,9.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,10.0,5.0,3.0,0,Medium
A-5053826,Source1,2,2022-08-03 07:53:00,2022-08-03 10:01:05,37.964587,-122.055236,37.95327,-122.054773,0.782,Accident on I-680 S from Burnett Ave/Concord Ave (I-680) to CA-242 (I-680).,I-680 S,Concord,Contra Costa,CA,94520,US,US/Pacific,KCCR,2022-08-03 07:53:00,67.0,67.0,66.0,29.9,10.0,SSW,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,7.0,8.0,2.0,1,Medium
A-273213,Source2,2,2017-01-25 15:55:09,2017-01-25 16:54:53,32.792442,-96.685028,,,0.01,Accident on TX-12 Loop Buckner Blvd at Samuell Blvd.,Samuell Blvd,Dallas,Dallas,TX,75227,US,US/Central,KHQZ,2017-01-25 15:50:00,51.8,,38.0,29.99,10.0,WNW,11.5,0.0,Scattered Clouds,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,15.0,1.0,2.0,0,Medium
A-1824177,Source2,2,2019-11-15 08:17:39,2019-11-15 09:17:34,32.8074,-96.851852,,,0.0,Accident on Inwood Rd at Lupo Dr.,Lupo Dr,Dallas,Dallas,TX,75247,US,US/Central,KDAL,2019-11-15 07:53:00,40.0,40.0,79.0,29.91,8.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,8.0,11.0,4.0,1,Medium
A-7572598,Source1,2,2018-06-18 19:39:14,2018-06-19 01:39:14,37.63872,-121.570765,37.63872,-121.570765,0.0,At CR-J2/Corral Hollow Rd - Accident. Lane blocked., Tesla Rd,Livermore,Alameda,CA,94550-9702,US,US/Pacific,KLVK,2018-06-18 19:53:00,68.0,,61.0,29.98,10.0,West,13.8,0.0,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,19.0,6.0,0.0,1,Medium
A-2432912,Source2,3,2018-11-05 08:27:16,2018-11-05 08:56:35,28.069267,-82.45458199999999,,,0.0,Right lane blocked due to accident on I-275 Northbound before County Hwy-582A Fletcher Ave.,E Fletcher Ave,Tampa,Hillsborough,FL,33612,US,US/Eastern,KVDF,2018-11-05 07:35:00,69.8,,100.0,30.09,10.0,Calm,7.0,0.0,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,8.0,11.0,0.0,1,High
A-795102,Source2,3,2021-12-03 00:09:27,2021-12-03 00:39:01,40.92347,-73.86024499999998,,,0.0,Two lanes blocked due to accident on I-87 Northbound before Exit 3 Central Park Ave.,I-87 N,Yonkers,Westchester,NY,10704,US,US/Eastern,KLGA,2021-12-03 00:51:00,49.0,42.0,48.0,29.67,10.0,WNW,20.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,0.0,12.0,4.0,0,High
A-2893652,Source2,2,2018-04-18 20:16:47,2018-04-18 20:46:38,30.146181,-97.623497,,,0.0,Accident on Elroy Rd at Circuit of the Americas Blvd.,Circuit of the Americas Blvd,Del Valle,Travis,TX,78617,US,US/Central,KAUS,2018-04-18 19:53:00,66.9,,49.0,30.06,10.0,North,8.1,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,20.0,4.0,2.0,0,Medium
A-5236851,Source1,2,2022-06-19 18:23:06,2022-06-19 19:02:43,40.780466,-73.63224100000002,40.759932,-73.713686,4.492,Slow traffic on Northern State Pkwy W - Grand Central Pkwy W from I-495/Exit 29 (Northern State Pkwy) to Grand Central Pkwy (Northern State Pkwy) due to accident.,Northern State Pkwy W,Roslyn Heights,Nassau,NY,11577,US,US/Eastern,KLGA,2022-06-19 18:51:00,72.0,72.0,26.0,29.92,10.0,NNW,16.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,18.0,6.0,6.0,1,Medium
A-4936119,Source1,2,2022-10-05 14:57:00,2022-10-05 19:24:44,33.452988,-117.135203,33.494440999999995,-117.145992,2.931,Stationary traffic on I-15 N - Escondido Fwy N - CA-79 N from Rainbow Valley Blvd (Fallbrook) (I-15) to Rancho California Rd (I-15) due to accident.,Escondido Fwy N,Temecula,Riverside,CA,92590,US,US/Pacific,KF70,2022-10-05 14:55:00,86.0,86.0,43.0,28.51,10.0,SSW,12.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,14.0,10.0,2.0,0,Medium
A-6938477,Source1,2,2020-09-11 19:04:30,2020-09-11 21:08:38,39.405201,-77.38444399999999,39.403031,-77.380874,0.242,MD 144 EAST/WEST AT I-70,Old National Pike,Frederick,Frederick,MD,21701,US,US/Eastern,KFDK,2020-09-11 18:47:00,79.0,79.0,61.0,29.84,10.0,NE,7.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,19.0,9.0,4.0,1,Medium
A-2705103,Source2,3,2018-07-16 14:42:14,2018-07-16 15:11:56,38.892124,-76.846939,,,0.0,Left hand shoulder blocked due to accident on I-95 Capital Beltway Northbound at Exits 15 15A 15B MD-214 Central Ave.,Central Ave,Upper Marlboro,Prince George's,MD,20774,US,US/Eastern,KADW,2018-07-16 14:56:00,95.9,,38.0,29.95,10.0,Calm,7.0,0.0,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,14.0,7.0,0.0,0,High
A-297800,Source2,2,2016-08-30 15:55:12,2016-08-30 16:55:12,32.749763,-96.916862,,,0.0,Accident on TX-180 Davis St at Walton Walker Blvd.,Walton Walker Blvd,Dallas,Dallas,TX,75211,US,US/Central,KRBD,2016-08-30 15:53:00,90.0,,55.0,29.94,10.0,NNE,18.4,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,15.0,8.0,1.0,0,Medium
A-1151457,Source2,2,2021-02-16 10:09:32,2021-02-16 10:54:13,33.495071,-112.186462,,,0.0,Accident on 59th Ave near Indian School Rd.,N 59th Ave,Phoenix,Maricopa,AZ,85033-4104,US,US/Mountain,KGEU,2021-02-16 09:59:00,57.0,57.0,33.0,28.67,10.0,SSW,13.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,10.0,2.0,1.0,0,Medium
A-5398447,Source1,2,2022-08-11 13:15:00,2022-08-11 14:33:10,36.530909,-120.097876,36.531536,-120.097866,0.043,Incident on CA-145 near W KAMM AVE Expect delays., S Lassen Ave,Helm,Fresno,CA,93627,US,US/Pacific,KNLC,2022-08-11 12:56:00,92.0,92.0,27.0,29.74,10.0,NNW,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,13.0,8.0,3.0,0,Medium
A-3356826,Source2,3,2017-08-04 19:34:22,2017-08-04 20:03:51,35.060116,-80.769745,,,0.0,Accident on I-485 Southbound after Exit 57 NC-16 Providence Rd.,Providence Rd,Matthews,Mecklenburg,NC,28105,US,US/Eastern,KEQY,2017-08-04 19:53:00,81.0,,62.0,29.96,10.0,SSW,3.5,0.0,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,19.0,8.0,4.0,1,High
A-2703031,Source2,3,2018-07-13 07:17:08,2018-07-13 08:01:41,29.500834,-98.548981,,,0.0,Accident on I-10 Westbound at Exits 563 564 565A I-410.,I-410 E,San Antonio,Bexar,TX,78213,US,US/Central,KSAT,2018-07-13 06:51:00,77.0,,82.0,30.04,10.0,South,8.1,0.0,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,7.0,7.0,4.0,1,High
A-1891276,Source3,2,2019-09-03 00:14:41,2019-09-03 00:44:11,33.779167,-117.876152,,,0.0,Right hand shoulder blocked due to accident on I-5 Northbound before CA-22.,CA-22 W,Orange,Orange,CA,92868,US,US/Pacific,KSNA,2019-09-03 00:53:00,74.0,74.0,79.0,29.86,10.0,WSW,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,0.0,9.0,1.0,0,Medium
A-4156755,Source1,2,2023-02-15 15:56:30,2023-02-15 17:51:30,40.263844,-77.055465,40.217357,-77.153031,6.066,Slow traffic on I-81 S from PA-114/Exit 18 (I-81) to PA-641/Exit 49 (I-81) due to accident.,I-81 S,Mechanicsburg,Cumberland,PA,17050,US,US/Eastern,KCXY,2023-02-15 15:56:00,71.0,71.0,34.0,29.48,10.0,SSW,16.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15.0,2.0,2.0,0,Medium
A-4335571,Source1,2,2022-09-07 17:27:00,2022-09-07 18:51:27,26.152797,-80.21943,26.164619,-80.21969399999998,0.8170000000000001,Incident on FLORIDA'S TPKE NB near MM 60 Road closed. Take alternate route.,Florida's Tpke,Fort Lauderdale,Broward,FL,33313,US,US/Eastern,KFXE,2022-09-07 17:53:00,90.0,90.0,59.0,29.84,10.0,ESE,10.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,17.0,9.0,2.0,1,Medium
A-4775815,Source1,2,2023-01-23 09:00:41,2023-01-23 10:17:10,33.995926000000004,-79.203908,33.997233,-79.20363,0.092,Incident on 7TH AVE near OAK ST Drive with caution., Highway 501 E,Aynor,Horry,SC,29511,US,US/Eastern,KHYW,2023-01-23 08:55:00,48.0,44.0,82.0,29.91,10.0,WSW,10.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,9.0,1.0,0.0,1,Medium
A-5412254,Source1,2,2022-08-22 09:29:25,2022-08-22 10:47:34,35.073109,-85.293076,35.073419,-85.290588,0.142,Incident on HIGHLAND DR near DARTMOUTH ST Drive with caution., Highland Dr,Chattanooga,Hamilton,TN,37405-2315,US,US/Eastern,KCHA,2022-08-22 09:53:00,76.0,76.0,82.0,29.31,10.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day,9.0,8.0,0.0,1,Medium
A-1917178,Source2,3,2019-09-17 14:45:30,2019-09-17 16:00:38,33.353115,-84.12494699999998,,,0.0,Left lane blocked due to accident on I-75 Southbound at Exit 212 Bill Gardner Pkwy.,GA-401 N,Locust Grove,Henry,GA,30248,US,US/Eastern,K6A2,2019-09-17 14:55:00,64.0,,67.0,28.97,10.0,WNW,9.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,14.0,9.0,1.0,0,High
A-4243247,Source1,2,,2022-03-06 07:16:22.000000000,33.154774904093,-87.59102225261881,33.168494904092995,-87.55611225261883,2.231,Incident on I-20 EB near MM 71 Left shoulder closed.,I-59,Tuscaloosa,Tuscaloosa,AL,35401,US,US/Central,KTCL,2022-03-06 05:40:00,62.0,62.0,86.0,30.04,9.0,SSE,3.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,,,,0,Medium
